exchange,ticker,name,sector,industry,city,state,country
NMS,AAPL,Apple Inc.,Technology,Consumer Electronics,Cupertino,CA,United States
NMS,NVDA,NVIDIA Corporation,Technology,Semiconductors,Santa Clara,CA,United States
NMS,MSFT,Microsoft Corporation,Technology,Software - Infrastructure,Redmond,WA,United States
NMS,AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,Seattle,WA,United States
NMS,GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,Mountain View,CA,United States
NMS,GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,Mountain View,CA,United States
NMS,META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,Menlo Park,CA,United States
NMS,TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,Austin,TX,United States
NMS,AVGO,Broadcom Inc.,Technology,Semiconductors,Palo Alto,CA,United States
NYQ,BRK-B,Berkshire Hathaway Inc. New,Financial Services,Insurance - Diversified,Omaha,NE,United States
NYQ,WMT,Walmart Inc.,Consumer Defensive,Discount Stores,Bentonville,AR,United States
NYQ,LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,Indianapolis,IN,United States
NYQ,JPM,JP Morgan Chase & Co.,Financial Services,Banks - Diversified,New York,NY,United States
NYQ,V,Visa Inc.,Financial Services,Credit Services,San Francisco,CA,United States
NYQ,MA,Mastercard Incorporated,Financial Services,Credit Services,Purchase,NY,United States
NYQ,ORCL,Oracle Corporation,Technology,Software - Infrastructure,Austin,TX,United States
NYQ,XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,Spring,TX,United States
NYQ,UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,Minnetonka,MN,United States
NMS,COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,Issaquah,WA,United States
NYQ,PG,Procter & Gamble Company (The),Consumer Defensive,Household & Personal Products,Cincinnati,OH,United States
NYQ,HD,"Home Depot, Inc. (The)",Consumer Cyclical,Home Improvement Retail,Atlanta,GA,United States
NMS,NFLX,"Netflix, Inc.",Communication Services,Entertainment,Los Gatos,CA,United States
NYQ,JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,New Brunswick,NJ,United States
NYQ,BAC,Bank of America Corporation,Financial Services,Banks - Diversified,Charlotte,NC,United States
NYQ,CRM,"Salesforce, Inc.",Technology,Software - Application,San Francisco,CA,United States
NYQ,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,North Chicago,IL,United States
NYQ,KO,Coca-Cola Company (The),Consumer Defensive,Beverages - Non-Alcoholic,Atlanta,GA,United States
NMS,TMUS,"T-Mobile US, Inc.",Communication Services,Telecom Services,Bellevue,WA,United States
NYQ,CVX,Chevron Corporation,Energy,Oil & Gas Integrated,San Ramon,CA,United States
NYQ,MRK,"Merck & Company, Inc.",Healthcare,Drug Manufacturers - General,Rahway,NJ,United States
NYQ,WFC,Wells Fargo & Company,Financial Services,Banks - Diversified,San Francisco,CA,United States
NMS,CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,San Jose,CA,United States
NYQ,ACN,Accenture plc,Technology,Information Technology Services,Dublin,,Ireland
NYQ,NOW,"ServiceNow, Inc.",Technology,Software - Application,Santa Clara,CA,United States
NYQ,AXP,American Express Company,Financial Services,Credit Services,New York,NY,United States
NYQ,MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,Chicago,IL,United States
NMS,PEP,"Pepsico, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,Purchase,NY,United States
NYQ,BX,Blackstone Inc.,Financial Services,Asset Management,New York,NY,United States
NYQ,IBM,International Business Machines,Technology,Information Technology Services,Armonk,NY,United States
NYQ,DIS,Walt Disney Company (The),Communication Services,Entertainment,Burbank,CA,United States
NMS,LIN,Linde plc,Basic Materials,Specialty Chemicals,Woking,,United Kingdom
NYQ,TMO,Thermo Fisher Scientific Inc,Healthcare,Diagnostics & Research,Waltham,MA,United States
NYQ,MS,Morgan Stanley,Financial Services,Capital Markets,New York,NY,United States
NYQ,ABT,Abbott Laboratories,Healthcare,Medical Devices,North Chicago,IL,United States
NMS,ADBE,Adobe Inc.,Technology,Software - Infrastructure,San Jose,CA,United States
NMS,AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,Santa Clara,CA,United States
NYQ,PM,Philip Morris International Inc,Consumer Defensive,Tobacco,Stamford,CT,United States
NMS,ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical Instruments & Supplies,Sunnyvale,CA,United States
NMS,PLTR,Palantir Technologies Inc.,Technology,Software - Infrastructure,Denver,CO,United States
NYQ,GE,GE Aerospace,Industrials,Aerospace & Defense,Evendale,OH,United States
NMS,INTU,Intuit Inc.,Technology,Software - Application,Mountain View,CA,United States
NYQ,GS,"Goldman Sachs Group, Inc. (The)",Financial Services,Capital Markets,New York,NY,United States
NYQ,CAT,"Caterpillar, Inc.",Industrials,Farm & Heavy Construction Machinery,Irving,TX,United States
NMS,TXN,Texas Instruments Incorporated,Technology,Semiconductors,Dallas,TX,United States
NMS,QCOM,QUALCOMM Incorporated,Technology,Semiconductors,San Diego,CA,United States
NYQ,VZ,Verizon Communications Inc.,Communication Services,Telecom Services,New York,NY,United States
NMS,BKNG,Booking Holdings Inc. Common St,Consumer Cyclical,Travel Services,Norwalk,CT,United States
NYQ,DHR,Danaher Corporation,Healthcare,Diagnostics & Research,Washington,DC,United States
NYQ,T,AT&T Inc.,Communication Services,Telecom Services,Dallas,TX,United States
NYQ,BLK,"BlackRock, Inc.",Financial Services,Asset Management,New York,NY,United States
NYQ,RTX,RTX Corporation,Industrials,Aerospace & Defense,Arlington,VA,United States
NYQ,SPGI,S&P Global Inc.,Financial Services,Financial Data & Stock Exchanges,New York,NY,United States
NYQ,PFE,"Pfizer, Inc.",Healthcare,Drug Manufacturers - General,New York,NY,United States
NMS,HON,Honeywell International Inc.,Industrials,Conglomerates,Charlotte,NC,United States
NYQ,NEE,"NextEra Energy, Inc.",Utilities,Utilities - Regulated Electric,Juno Beach,FL,United States
NMS,CMCSA,Comcast Corporation,Communication Services,Telecom Services,Philadelphia,PA,United States
NYQ,ANET,"Arista Networks, Inc.",Technology,Computer Hardware,Santa Clara,CA,United States
NMS,AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,Thousand Oaks,CA,United States
NYQ,PGR,Progressive Corporation (The),Financial Services,Insurance - Property & Casualty,Mayfield Village,OH,United States
NYQ,LOW,"Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement Retail,Mooresville,NC,United States
NYQ,SYK,Stryker Corporation,Healthcare,Medical Devices,Portage,MI,United States
NYQ,UNP,Union Pacific Corporation,Industrials,Railroads,Omaha,NE,United States
NYQ,TJX,"TJX Companies, Inc. (The)",Consumer Cyclical,Apparel Retail,Framingham,MA,United States
NYQ,KKR,KKR & Co. Inc.,Financial Services,Asset Management,New York,NY,United States
NYQ,SCHW,Charles Schwab Corporation (The,Financial Services,Capital Markets,Westlake,TX,United States
NYQ,ETN,"Eaton Corporation, PLC",Industrials,Specialty Industrial Machinery,Dublin,,Ireland
NMS,AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,Santa Clara,CA,United States
NYQ,BA,Boeing Company (The),Industrials,Aerospace & Defense,Arlington,VA,United States
NYQ,BSX,Boston Scientific Corporation,Healthcare,Medical Devices,Marlborough,MA,United States
NYQ,C,"Citigroup, Inc.",Financial Services,Banks - Diversified,New York,NY,United States
NYQ,UBER,"Uber Technologies, Inc.",Technology,Software - Application,San Francisco,CA,United States
NYQ,COP,ConocoPhillips,Energy,Oil & Gas E&P,Houston,TX,United States
NMS,PANW,"Palo Alto Networks, Inc.",Technology,Software - Infrastructure,Santa Clara,CA,United States
NMS,ADP,"Automatic Data Processing, Inc.",Technology,Software - Application,Roseland,NJ,United States
NYQ,DE,Deere & Company,Industrials,Farm & Heavy Construction Machinery,Moline,IL,United States
NYQ,FI,"Fiserv, Inc.",Technology,Information Technology Services,Milwaukee,WI,United States
NYQ,BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General,Princeton,NJ,United States
NYQ,LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense,Bethesda,MD,United States
NMS,GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,Foster City,CA,United States
NYQ,NKE,"Nike, Inc.",Consumer Cyclical,Footwear & Accessories,Beaverton,OR,United States
NYQ,CB,Chubb Limited,Financial Services,Insurance - Property & Casualty,Zurich,,Switzerland
NYQ,UPS,"United Parcel Service, Inc.",Industrials,Integrated Freight & Logistics,Atlanta,GA,United States
NMS,ADI,"Analog Devices, Inc.",Technology,Semiconductors,Wilmington,MA,United States
NYQ,MMC,"Marsh & McLennan Companies, Inc",Financial Services,Insurance Brokers,New York,NY,United States
NYQ,MDT,Medtronic plc.,Healthcare,Medical Devices,Galway,,Ireland
NMS,VRTX,Vertex Pharmaceuticals Incorpor,Healthcare,Biotechnology,Boston,MA,United States
NMS,MU,"Micron Technology, Inc.",Technology,Semiconductors,Boise,ID,United States
NMS,SBUX,Starbucks Corporation,Consumer Cyclical,Restaurants,Seattle,WA,United States
NYQ,PLD,"Prologis, Inc.",Real Estate,REIT - Industrial,San Francisco,CA,United States
NYQ,GEV,GE Vernova Inc.,Utilities,Utilities - Renewable,Cambridge,MA,United States
NMS,LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,Fremont,CA,United States
NYQ,MO,"Altria Group, Inc.",Consumer Defensive,Tobacco,Richmond,VA,United States
NYQ,SO,Southern Company (The),Utilities,Utilities - Regulated Electric,Atlanta,GA,United States
NMS,EQIX,"Equinix, Inc.",Real Estate,REIT - Specialty,Redwood City,CA,United States
NMS,CRWD,"CrowdStrike Holdings, Inc.",Technology,Software - Infrastructure,Austin,TX,United States
NMS,PYPL,"PayPal Holdings, Inc.",Financial Services,Credit Services,San Jose,CA,United States
NYQ,SHW,Sherwin-Williams Company (The),Basic Materials,Specialty Chemicals,Cleveland,OH,United States
NYQ,ICE,Intercontinental Exchange Inc.,Financial Services,Financial Data & Stock Exchanges,Atlanta,GA,United States
NMS,CME,CME Group Inc.,Financial Services,Financial Data & Stock Exchanges,Chicago,IL,United States
NYQ,AMT,American Tower Corporation (REI,Real Estate,REIT - Specialty,Boston,MA,United States
NYQ,APH,Amphenol Corporation,Technology,Electronic Components,Wallingford,CT,United States
NYQ,ELV,"Elevance Health, Inc.",Healthcare,Healthcare Plans,Indianapolis,IN,United States
NYQ,TT,Trane Technologies plc,Industrials,Building Products & Equipment,Swords,,Ireland
NYQ,MCO,Moody's Corporation,Financial Services,Financial Data & Stock Exchanges,New York,NY,United States
NYQ,CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,Restaurants,Newport Beach,CA,United States
NMS,INTC,Intel Corporation,Technology,Semiconductors,Santa Clara,CA,United States
NMS,KLAC,KLA Corporation,Technology,Semiconductor Equipment & Materials,Milpitas,CA,United States
NMS,ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,San Francisco,CA,United States
NYQ,DUK,Duke Energy Corporation (Holdin,Utilities,Utilities - Regulated Electric,Charlotte,NC,United States
NYQ,PH,Parker-Hannifin Corporation,Industrials,Specialty Industrial Machinery,Cleveland,OH,United States
NMS,CDNS,"Cadence Design Systems, Inc.",Technology,Software - Application,San Jose,CA,United States
NYQ,WM,"Waste Management, Inc.",Industrials,Waste Management,Houston,TX,United States
NYQ,DELL,Dell Technologies Inc.,Technology,Computer Hardware,Round Rock,TX,United States
NMS,MDLZ,"Mondelez International, Inc.",Consumer Defensive,Confectioners,Chicago,IL,United States
NMS,MAR,Marriott International,Consumer Cyclical,Lodging,Bethesda,MD,United States
NYQ,MSI,"Motorola Solutions, Inc.",Technology,Communication Equipment,Chicago,IL,United States
NYQ,WELL,Welltower Inc.,Real Estate,REIT - Healthcare Facilities,Toledo,OH,United States
NYQ,AON,Aon plc,Financial Services,Insurance Brokers,Dublin,,Ireland
NMS,REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,Biotechnology,Tarrytown,NY,United States
NYQ,CI,The Cigna Group,Healthcare,Healthcare Plans,Bloomfield,CT,United States
NYQ,HCA,"HCA Healthcare, Inc.",Healthcare,Medical Care Facilities,Nashville,TN,United States
NYQ,PNC,"PNC Financial Services Group, I",Financial Services,Banks - Regional,Pittsburgh,PA,United States
NYQ,ITW,Illinois Tool Works Inc.,Industrials,Specialty Industrial Machinery,Glenview,IL,United States
NMS,SNPS,"Synopsys, Inc.",Technology,Software - Infrastructure,Sunnyvale,CA,United States
NMS,CTAS,Cintas Corporation,Industrials,Specialty Business Services,Cincinnati,OH,United States
NYQ,CL,Colgate-Palmolive Company,Consumer Defensive,Household & Personal Products,New York,NY,United States
NYQ,USB,U.S. Bancorp,Financial Services,Banks - Regional,Minneapolis,MN,United States
NMS,FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,Sunnyvale,CA,United States
NYQ,ZTS,Zoetis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Parsippany,NJ,United States
NYQ,MCK,McKesson Corporation,Healthcare,Medical Distribution,Irving,TX,United States
NYQ,GD,General Dynamics Corporation,Industrials,Aerospace & Defense,Reston,VA,United States
NYQ,TDG,Transdigm Group Incorporated,Industrials,Aerospace & Defense,Cleveland,OH,United States
NMS,CEG,Constellation Energy Corporatio,Utilities,Utilities - Renewable,Baltimore,MD,United States
NYQ,AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,Rolling Meadows,IL,United States
NYQ,EMR,Emerson Electric Company,Industrials,Specialty Industrial Machinery,Saint Louis,MO,United States
NYQ,MMM,3M Company,Industrials,Conglomerates,Saint Paul,MN,United States
NMS,ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical,Specialty Retail,Springfield,MO,United States
NYQ,NOC,Northrop Grumman Corporation,Industrials,Aerospace & Defense,Falls Church,VA,United States
NYQ,COF,Capital One Financial Corporati,Financial Services,Credit Services,McLean,VA,United States
NYQ,ECL,Ecolab Inc.,Basic Materials,Specialty Chemicals,Saint Paul,MN,United States
NYQ,EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,Houston,TX,United States
NYQ,FDX,FedEx Corporation,Industrials,Integrated Freight & Logistics,Memphis,TN,United States
NYQ,BDX,"Becton, Dickinson and Company",Healthcare,Medical Instruments & Supplies,Franklin Lakes,NJ,United States
NYQ,APD,"Air Products and Chemicals, Inc",Basic Materials,Specialty Chemicals,Allentown,PA,United States
NYQ,WMB,"Williams Companies, Inc. (The)",Energy,Oil & Gas Midstream,Tulsa,OK,United States
NYQ,SPG,"Simon Property Group, Inc.",Real Estate,REIT - Retail,Indianapolis,IN,United States
NMS,ADSK,"Autodesk, Inc.",Technology,Software - Application,San Francisco,CA,United States
NYQ,RCL,Royal Caribbean Cruises Ltd.,Consumer Cyclical,Travel Services,Miami,FL,United States
NYQ,RSG,"Republic Services, Inc.",Industrials,Waste Management,Phoenix,AZ,United States
NYQ,CARR,Carrier Global Corporation,Industrials,Building Products & Equipment,Palm Beach Gardens,FL,United States
NMS,CSX,CSX Corporation,Industrials,Railroads,Jacksonville,FL,United States
NYQ,HLT,Hilton Worldwide Holdings Inc.,Consumer Cyclical,Lodging,McLean,VA,United States
NYQ,DLR,"Digital Realty Trust, Inc.",Real Estate,REIT - Specialty,Austin,TX,United States
NYQ,TGT,Target Corporation,Consumer Defensive,Discount Stores,Minneapolis,MN,United States
NYQ,KMI,"Kinder Morgan, Inc.",Energy,Oil & Gas Midstream,Houston,TX,United States
NYQ,OKE,"ONEOK, Inc.",Energy,Oil & Gas Midstream,Tulsa,OK,United States
NYQ,TFC,Truist Financial Corporation,Financial Services,Banks - Regional,Charlotte,NC,United States
NYQ,AFL,AFLAC Incorporated,Financial Services,Insurance - Life,Columbus,GA,United States
NYQ,GM,General Motors Company,Consumer Cyclical,Auto Manufacturers,Detroit,MI,United States
NYQ,BK,The Bank of New York Mellon Cor,Financial Services,Banks - Diversified,New York,NY,United States
NMS,ROP,"Roper Technologies, Inc.",Technology,Software - Application,Sarasota,FL,United States
NYQ,MET,"MetLife, Inc.",Financial Services,Insurance - Life,New York,NY,United States
NMS,CPRT,"Copart, Inc.",Industrials,Specialty Business Services,Dallas,TX,United States
NYQ,FCX,"Freeport-McMoRan, Inc.",Basic Materials,Copper,Phoenix,AZ,United States
NYQ,CVS,CVS Health Corporation,Healthcare,Healthcare Plans,Woonsocket,RI,United States
NMS,PCAR,PACCAR Inc.,Industrials,Farm & Heavy Construction Machinery,Bellevue,WA,United States
NYQ,SRE,DBA Sempra,Utilities,Utilities - Diversified,San Diego,CA,United States
NYQ,AZO,"AutoZone, Inc.",Consumer Cyclical,Specialty Retail,Memphis,TN,United States
NYQ,TRV,"The Travelers Companies, Inc.",Financial Services,Insurance - Property & Casualty,New York,NY,United States
NMS,NXPI,NXP Semiconductors N.V.,Technology,Semiconductors,Eindhoven,,Netherlands
NYQ,JCI,Johnson Controls International ,Industrials,Building Products & Equipment,Cork,,Ireland
NYQ,GWW,"W.W. Grainger, Inc.",Industrials,Industrial Distribution,Lake Forest,IL,United States
NYQ,NSC,Norfolk Southern Corporation,Industrials,Railroads,Atlanta,GA,United States
NYQ,PSA,Public Storage,Real Estate,REIT - Industrial,Glendale,CA,United States
NYQ,SLB,Schlumberger N.V.,Energy,Oil & Gas Equipment & Services,Houston,TX,United States
NYQ,AMP,"Ameriprise Financial, Inc.",Financial Services,Asset Management,Minneapolis,MN,United States
NYQ,ALL,Allstate Corporation (The),Financial Services,Insurance - Property & Casualty,Northbrook,IL,United States
NYQ,FICO,Fair Isaac Corporation,Technology,Software - Application,Bozeman,MT,United States
NMS,MNST,Monster Beverage Corporation,Consumer Defensive,Beverages - Non-Alcoholic,Corona,CA,United States
NMS,PAYX,"Paychex, Inc.",Technology,Software - Application,Rochester,NY,United States
NMS,CHTR,"Charter Communications, Inc.",Communication Services,Telecom Services,Stamford,CT,United States
NMS,AEP,American Electric Power Company,Utilities,Utilities - Regulated Electric,Columbus,OH,United States
NMS,ROST,"Ross Stores, Inc.",Consumer Cyclical,Apparel Retail,Dublin,CA,United States
NYQ,PWR,"Quanta Services, Inc.",Industrials,Engineering & Construction,Houston,TX,United States
NYQ,CMI,Cummins Inc.,Industrials,Specialty Industrial Machinery,Columbus,IN,United States
NMS,AXON,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,Scottsdale,AZ,United States
NYQ,VST,Vistra Corp.,Utilities,Utilities - Independent Power Producers,Irving,TX,United States
NYQ,URI,"United Rentals, Inc.",Industrials,Rental & Leasing Services,Stamford,CT,United States
NYQ,MSCI,MSCI Inc.,Financial Services,Financial Data & Stock Exchanges,New York,NY,United States
NMS,LULU,lululemon athletica inc.,Consumer Cyclical,Apparel Retail,Vancouver,BC,Canada
NYQ,O,Realty Income Corporation,Real Estate,REIT - Retail,San Diego,CA,United States
NYQ,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,Houston,TX,United States
NYQ,AIG,"American International Group, I",Financial Services,Insurance - Diversified,New York,NY,United States
NMS,FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,Midland,TX,United States
NYQ,D,"Dominion Energy, Inc.",Utilities,Utilities - Regulated Electric,Richmond,VA,United States
NYQ,HWM,Howmet Aerospace Inc.,Industrials,Aerospace & Defense,Pittsburgh,PA,United States
NYQ,DHI,"D.R. Horton, Inc.",Consumer Cyclical,Residential Construction,Arlington,TX,United States
NYQ,KR,Kroger Company (The),Consumer Defensive,Grocery Stores,Cincinnati,OH,United States
NMS,NDAQ,"Nasdaq, Inc.",Financial Services,Financial Data & Stock Exchanges,New York,NY,United States
NYQ,OXY,Occidental Petroleum Corporatio,Energy,Oil & Gas E&P,Houston,TX,United States
NYQ,EW,Edwards Lifesciences Corporatio,Healthcare,Medical Devices,Irvine,CA,United States
NYQ,COR,"Cencora, Inc.",Healthcare,Medical Distribution,Conshohocken,PA,United States
NMS,KDP,Keurig Dr Pepper Inc.,Consumer Defensive,Beverages - Non-Alcoholic,Burlington,MA,United States
NYQ,FIS,Fidelity National Information S,Technology,Information Technology Services,Jacksonville,FL,United States
NYQ,KMB,Kimberly-Clark Corporation,Consumer Defensive,Household & Personal Products,Dallas,TX,United States
NYQ,NEM,Newmont Corporation,Basic Materials,Gold,Denver,CO,United States
NYQ,DFS,Discover Financial Services,Financial Services,Credit Services,Riverwoods,IL,United States
NYQ,PCG,Pacific Gas & Electric Co.,Utilities,Utilities - Regulated Electric,Oakland,CA,United States
NYQ,TEL,TE Connectivity plc,Technology,Electronic Components,Ballybrit,,Ireland
NYQ,MPC,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing,Findlay,OH,United States
NMS,FAST,Fastenal Company,Industrials,Industrial Distribution,Winona,MN,United States
NYQ,AME,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery,Berwyn,PA,United States
NYQ,PEG,Public Service Enterprise Group,Utilities,Utilities - Regulated Electric,Newark,NJ,United States
NYQ,PRU,"Prudential Financial, Inc.",Financial Services,Insurance - Life,Newark,NJ,United States
NYQ,KVUE,Kenvue Inc.,Consumer Defensive,Household & Personal Products,Skillman,NJ,United States
NYQ,STZ,"Constellation Brands, Inc.",Consumer Defensive,Beverages - Brewers,Victor,NY,United States
NYQ,GLW,Corning Incorporated,Technology,Electronic Components,Corning,NY,United States
NYQ,LHX,"L3Harris Technologies, Inc.",Industrials,Aerospace & Defense,Melbourne,FL,United States
NYQ,GRMN,Garmin Ltd.,Technology,Scientific & Technical Instruments,Schaffhausen,,Switzerland
NMS,BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,Houston,TX,United States
NYQ,CBRE,CBRE Group Inc,Real Estate,Real Estate Services,Dallas,TX,United States
NYQ,CTVA,"Corteva, Inc.",Basic Materials,Agricultural Inputs,Indianapolis,IN,United States
NYQ,HES,Hess Corporation,Energy,Oil & Gas E&P,New York,NY,United States
NYQ,CCI,Crown Castle Inc.,Real Estate,REIT - Specialty,Houston,TX,United States
NYQ,DAL,"Delta Air Lines, Inc.",Industrials,Airlines,Atlanta,GA,United States
NMS,CTSH,Cognizant Technology Solutions ,Technology,Information Technology Services,Teaneck,NJ,United States
NYQ,F,Ford Motor Company,Consumer Cyclical,Auto Manufacturers,Dearborn,MI,United States
NMS,VRSK,"Verisk Analytics, Inc.",Industrials,Consulting Services,Jersey City,NJ,United States
NMS,EA,Electronic Arts Inc.,Communication Services,Electronic Gaming & Multimedia,Redwood City,CA,United States
NMS,ODFL,"Old Dominion Freight Line, Inc.",Industrials,Trucking,Thomasville,NC,United States
NMS,XEL,Xcel Energy Inc.,Utilities,Utilities - Regulated Electric,Minneapolis,MN,United States
NYQ,TRGP,"Targa Resources, Inc.",Energy,Oil & Gas Midstream,Houston,TX,United States
NYQ,A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,Santa Clara,CA,United States
NYQ,IT,"Gartner, Inc.",Technology,Information Technology Services,Stamford,CT,United States
NYQ,LVS,Las Vegas Sands Corp.,Consumer Cyclical,Resorts & Casinos,Las Vegas,NV,United States
NYQ,SYY,Sysco Corporation,Consumer Defensive,Food Distribution,Houston,TX,United States
NYQ,VLO,Valero Energy Corporation,Energy,Oil & Gas Refining & Marketing,San Antonio,TX,United States
NYQ,OTIS,Otis Worldwide Corporation,Industrials,Specialty Industrial Machinery,Farmington,CT,United States
NYQ,LEN,Lennar Corporation,Consumer Cyclical,Residential Construction,Miami,FL,United States
NMS,EXC,Exelon Corporation,Utilities,Utilities - Regulated Electric,Chicago,IL,United States
